

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.032  000.032: --- NVIM STARTING ---
000.127  000.095: event init
000.256  000.129: early init
021.602  021.346: locale set
021.683  000.082: init first window
022.302  000.619: inits 1
022.448  000.146: window checked
022.474  000.026: parsing arguments
023.728  000.330  000.330: require('vim.shared')
024.408  000.259  000.259: require('vim._meta')
024.444  000.689  000.430: require('vim._editor')
024.464  001.193  000.173: require('vim._init_packages')
024.495  000.829: init lua interpreter
024.926  000.430: expanding arguments
024.970  000.045: inits 2
025.614  000.644: init highlight
025.619  000.005: waiting for UI
025.903  000.284: done waiting for UI
025.920  000.017: clear screen
026.217  000.297: init default mappings & autocommands
027.900  000.111  000.111: sourcing C:\Program Files\Neovim\share\nvim\runtime\ftplugin.vim
028.275  000.059  000.059: sourcing C:\Program Files\Neovim\share\nvim\runtime\indent.vim
030.947  000.140  000.140: require('vim.keymap')
031.012  002.012  001.872: require('defaults')
031.300  000.283  000.283: require('lazy')
031.354  000.018  000.018: require('ffi')
031.648  000.288  000.288: require('vim.loader')
032.019  000.202  000.202: require('vim.fs')
032.420  000.620  000.419: require('lazy.stats')
032.988  000.284  000.284: require('lazy.core.util')
033.244  000.246  000.246: require('lazy.core.config')
033.762  000.273  000.273: require('lazy.core.handler')
034.059  000.289  000.289: require('lazy.core.plugin')
034.091  000.840  000.278: require('lazy.core.loader')
034.987  000.185  000.185: require('plugins.autopairs')
035.251  000.246  000.246: require('plugins.barbar')
035.476  000.201  000.201: require('plugins.colorizer')
035.686  000.194  000.194: require('plugins.colorscheme')
035.958  000.240  000.240: require('plugins.indent-blankline')
036.164  000.191  000.191: require('plugins.lsp-zero')
036.377  000.172  000.172: require('plugins.lualine')
036.623  000.227  000.227: require('plugins.neo-tree')
036.834  000.187  000.187: require('plugins.notifications')
037.130  000.244  000.244: require('plugins.startup')
037.455  000.300  000.300: require('plugins.telescope')
037.994  000.289  000.289: require('plugins.terminal')
038.271  000.260  000.260: require('plugins.treesitter')
038.573  000.282  000.282: require('plugins.which-key')
039.264  000.356  000.356: require('lazy.core.handler.cmd')
039.565  000.288  000.288: require('lazy.core.handler.event')
039.793  000.218  000.218: require('lazy.core.handler.ft')
040.036  000.234  000.234: require('lazy.core.handler.keys')
041.815  001.272  001.272: sourcing C:\Program Files\Neovim\share\nvim\runtime/filetype.lua
042.406  000.078  000.078: sourcing C:/Users/Kusha/AppData/Local/nvim-data/lazy/nightfox/plugin/nightfox.vim
044.536  000.214  000.214: require('nightfox.lib.collect')
044.830  000.285  000.285: require('nightfox.util')
044.914  000.895  000.397: require('nightfox.config')
044.931  002.168  001.273: require('nightfox')
045.228  000.292  000.292: require('nightfox.override')
045.839  000.348  000.348: require('nightfox.lib.hash')
047.797  001.506  001.506: require('onedark')
049.669  001.418  001.418: require('gruvbox')
050.322  000.096  000.096: sourcing C:/Users/Kusha/AppData/Local/nvim-data/lazy/nvim-colorizer.lua/plugin/colorizer.vim
052.036  000.244  000.244: require('colorizer/nvim')
052.397  000.352  000.352: require('colorizer/trie')
052.596  002.213  001.617: require('colorizer')
055.404  000.095  000.095: sourcing C:/Users/Kusha/AppData/Local/nvim-data/lazy/plenary.nvim/plugin/plenary.vim
058.879  000.450  000.450: sourcing C:/Users/Kusha/AppData/Local/nvim-data/lazy/telescope.nvim/plugin/telescope.lua
061.667  000.486  000.486: require('telescope._extensions')
061.677  002.718  002.232: require('telescope')
062.032  000.351  000.351: require('telescope.themes')
063.084  000.448  000.448: require('cmdline.state')
063.359  000.253  000.253: require('cmdline.utils')
063.368  000.962  000.261: require('cmdline')
064.133  000.306  000.306: require('cmdline.config')
065.727  000.225  000.225: require('plenary.bit')
065.933  000.198  000.198: require('plenary.functional')
065.952  000.663  000.240: require('plenary.path')
065.958  000.852  000.189: require('plenary.strings')
066.292  000.330  000.330: require('telescope.deprecated')
067.398  000.029  000.029: require('vim.F')
067.433  000.439  000.410: require('plenary.log')
067.517  000.829  000.390: require('telescope.log')
068.100  000.226  000.226: require('plenary.job')
068.464  000.356  000.356: require('telescope.state')
068.478  000.954  000.372: require('telescope.utils')
068.487  002.188  000.404: require('telescope.sorters')
068.694  000.196  000.196: require('vim.inspect')
070.486  005.710  002.145: require('telescope.config')
071.008  000.229  000.229: require('plenary.window.border')
071.295  000.279  000.279: require('plenary.window')
071.503  000.201  000.201: require('plenary.popup.utils')
071.513  001.019  000.311: require('plenary.popup')
071.943  000.425  000.425: require('telescope.pickers.scroller')
072.332  000.382  000.382: require('telescope.actions.state')
072.677  000.338  000.338: require('telescope.actions.utils')
073.384  000.359  000.359: require('telescope.actions.mt')
073.413  000.726  000.367: require('telescope.actions.set')
074.100  000.344  000.344: require('telescope.config.resolve')
074.110  000.693  000.348: require('telescope.pickers.entry_display')
074.473  000.359  000.359: require('telescope.from_entry')
074.721  010.579  000.926: require('telescope.actions')
074.728  011.248  000.363: require('cmdline.actions')
076.858  000.263  000.263: require('plenary.tbl')
076.872  000.582  000.319: require('plenary.vararg.rotate')
076.876  000.906  000.324: require('plenary.vararg')
077.080  000.201  000.201: require('plenary.errors')
077.090  001.391  000.284: require('plenary.async.async')
077.857  000.179  000.179: require('plenary.async.structs')
077.868  000.372  000.194: require('plenary.async.control')
077.876  000.562  000.190: require('plenary.async.util')
077.880  000.776  000.214: require('plenary.async.tests')
077.884  002.676  000.509: require('plenary.async')
078.314  000.424  000.424: require('telescope.debounce')
078.711  000.388  000.388: require('telescope.mappings')
079.046  000.326  000.326: require('telescope.pickers.highlights')
079.394  000.341  000.341: require('telescope.pickers.window')
079.999  000.303  000.303: require('telescope.algos.linked_list')
080.008  000.606  000.303: require('telescope.entry_manager')
080.332  000.319  000.319: require('telescope.pickers.multi')
080.352  005.620  000.538: require('telescope.pickers')
